Time,Date,Elapsed,Orig,Dest,Detour enroute,Driver,Distance
1640,09/26/2023,31 Mins,Evergreen,Millersylvania,yes,P,11 miles
1130,09/27/2023,21 mins,Millersylvania,Evergreen,yes,P,10 miles
1300,09/27/2023,19 mins,Evergreen,Millersylvania,no,P,10 miles
850,09/28/2023,25 mins,Millersylvania,Evergreen,No,P,11 miles
1700,09/28/2023,170 mins,Millersylvania,Home,yes,P,86 miles
1630,10/01/2023,133 mins,Home,Millersylvania,no,P,86 miles
840,10/02/2023,33 mins,Millersylvania,Evergreen,yes,P,11 miles
1905,10/02/2023,23 mins,Evergreen,Millersylvania,no,P,11 miles
845,10/03/2023,22 mins,Millersylvania,Evergreen,no,P,11 miles
1645,10/03/2023,32 mins,Evergreen,Millersylvania,no,P,11 miles
1058,10/04/2023,27 mins,Millersylvania,Evergreen,yes,P,11 miles
