Date,Steps ,Distance (milies),flgihts climbed ,Active Energy,Handwashing (sec),Resting Energy,Enviomental Sound Levels
10/5/2023,"11,968",6.3,0,640,15,1683,79
10/6/2023,8129,3.8,2,385,11,1599,75
10/7/2023,6415,3.9,1,477,12,1529,72
10/8/2023,2908,1.4,1,199,10,1593,72
10/9/2023,10701,5.5,1,565,12,1495,76
10/10/2023,6004,3,2,318,15,1681,71
10/11/2023,4583,2.1,1,264,13,1497,73
10/12/2023,13779,7.8,1,745,12,1583,76
10/13/2023,9405,5.5,1,533,15,1576,75
10/14/2023,6103,3.1,0,318,18.5,1690,80
10/15/2023,5336,2.4,2,288,15,1651,74
10/16/2023,7402,3.5,2,339,16,1275,73
10/17/2023,8368,3.9,14,430,12,1712,82
10/18/2023,4705,2.1,3,257,16,1430,78
10/19/2023,10451,5.8,0,543,17,1683,75
10/21/2023,7238,3.8,12,423,12,1693,78
10/22/2023,8100,3.9,2,431,14,1739,73
10/23/2023,6679,3.4,3,365,19,1483,73
10/24/2023,7150,3.5,3,391,13,1554,77
10/25/2023,9707,5,1,482,15,1472,75
10/26/2023,13430,7.3,1,687,17,1559,74
10/27/2023,4630,2.1,1,303,14,1726,75
10/28/2023,4503,2.1,1,299,15,1704,77
10/29/2023,3461,1.6,1,213,13,1698,76
10/30/2023,4216,1.9,1,227,16,1679,69
10/31/2023,10124,4.6,4,434,15,1718,72
11/1/2023,2498,1.1,0,116,16,1680,74
11/2/2023,4231,1.9,2,259,17,1466,70
11/4/2023,5162,2.5,13,324,14,1666,84
11/5/2023,9613,5.2,1,410,14,1754,77
11/6/2023,5533,2.8,1,262,15,1671,69
