Hand,Suit,Unopened Pot EP,Unopened Pot LP,With Limper EP,With Limper LP,With a Raise in Front EP,With a Raise in Front LP
ACAC,Off,Raise,Raise,Raise,Raise,Fold,Fold
KIKI,Off,Raise,Raise,Raise,Raise,Fold,Fold
QUQU,Off,Raise,Raise,Raise,Raise,Fold,Fold
JAJA,Off,Raise,Raise,Call,Call,Fold,Fold
TETE,Off,Raise,Raise,Call,Call,Fold,Fold
NINI,Off,Raise,Raise,Call,Call,Fold,Fold
EIEI,Off,Raise,Raise,Call,Call,Fold,Fold
SESE,Off,Raise,Raise,Call,Call,Fold,Fold
SISI,Off,Fold,Fold,Fold,Fold,Fold,Fold
FIFI,Off,Fold,Fold,Fold,Fold,Fold,Fold
FOFO,Off,Fold,Fold,Fold,Fold,Fold,Fold
THTH,Off,Fold,Fold,Fold,Fold,Fold,Fold
TWTW,Off,Fold,Fold,Fold,Fold,Fold,Fold
ACKIs,On,Raise,Raise,Raise,Raise,Call,Call
ACQUs,On,Raise,Raise,Call,Call,Fold,Fold
ACJAs,On,Raise,Raise,Call,Call,Fold,Fold
ACTEs,On,Raise,Raise,Call,Call,Fold,Fold
ACNIs,On,Raise,Raise,Call,Call,Fold,Fold
ACEIs,On,Raise,Raise,Call,Call,Fold,Fold
ACSEs,On,Raise,Raise,Call,Call,Fold,Fold
ACSIs,On,Raise,Raise,Fold,Fold,Fold,Fold
ACFIs,On,Raise,Raise,Fold,Fold,Fold,Fold
ACFOs,On,Raise,Raise,Fold,Fold,Fold,Fold
ACTHs,On,Raise,Raise,Fold,Fold,Fold,Fold
ACTWs,On,Raise,Raise,Fold,Fold,Fold,Fold
KIQUs,On,Raise,Raise,Call,Call,Fold,Fold
KIJAs,On,Raise,Raise,Call,Call,Fold,Fold
KITEs,On,Raise,Raise,Call,Call,Fold,Fold
KINIs,On,Call,Raise,Fold,Fold,Fold,Fold
KIEIs,On,Fold,Raise,Fold,Fold,Fold,Fold
KISEs,On,Fold,Call,Fold,Fold,Fold,Fold
KISIs,On,Fold,Fold,Fold,Fold,Fold,Fold
KIFIs,On,Fold,Fold,Fold,Fold,Fold,Fold
KIFOs,On,Fold,Fold,Fold,Fold,Fold,Fold
KITHs,On,Fold,Fold,Fold,Fold,Fold,Fold
KITWs,On,Fold,Fold,Fold,Fold,Fold,Fold
QUJAs,On,Raise,Raise,Call,Call,Fold,Fold
QUTEs,On,Raise,Raise,Call,Call,Fold,Fold
QUNIs,On,Call,Raise,Fold,Fold,Fold,Fold
QUEIs,On,Fold,Raise,Fold,Fold,Fold,Fold
QUSEs,On,Fold,Call,Fold,Fold,Fold,Fold
QUSIs,On,Fold,Fold,Fold,Fold,Fold,Fold
QUFIs,On,Fold,Fold,Fold,Fold,Fold,Fold
QUFOs,On,Fold,Fold,Fold,Fold,Fold,Fold
QUTHs,On,Fold,Fold,Fold,Fold,Fold,Fold
QUTWs,On,Fold,Fold,Fold,Fold,Fold,Fold
ACKI,Off,Raise,Raise,Raise,Raise,Call,Call
ACQU,Off,Raise,Raise,Call,Call,Fold,Fold
ACJA,Off,Raise,Raise,Call,Call,Fold,Fold
ACTE,Off,Raise,Raise,Call,Call,Fold,Fold
ACNI,Off,Raise,Raise,Call,Call,Fold,Fold
ACEI,Off,Raise,Raise,Call,Call,Fold,Fold
ACSE,Off,Raise,Raise,Call,Call,Fold,Fold
ACSI,Off,Raise,Raise,Fold,Fold,Fold,Fold
ACFI,Off,Raise,Raise,Fold,Fold,Fold,Fold
ACFO,Off,Raise,Raise,Fold,Fold,Fold,Fold
ACTH,Off,Raise,Raise,Fold,Fold,Fold,Fold
ACTW,Off,Raise,Raise,Fold,Fold,Fold,Fold
KIQU,Off,Raise,Raise,Call,Call,Fold,Fold
KIJA,Off,Raise,Raise,Call,Call,Fold,Fold
KITE,Off,Raise,Raise,Call,Call,Fold,Fold
KINI,Off,Call,Raise,Fold,Fold,Fold,Fold
KIEI,Off,Fold,Raise,Fold,Fold,Fold,Fold
KISE,Off,Fold,Call,Fold,Fold,Fold,Fold
KISI,Off,Fold,Fold,Fold,Fold,Fold,Fold
KIFI,Off,Fold,Fold,Fold,Fold,Fold,Fold
KIFO,Off,Fold,Fold,Fold,Fold,Fold,Fold
KITH,Off,Fold,Fold,Fold,Fold,Fold,Fold
KITW,Off,Fold,Fold,Fold,Fold,Fold,Fold
QUJA,Off,Raise,Raise,Call,Call,Fold,Fold
QUTE,Off,Raise,Raise,Call,Call,Fold,Fold
QUJA,Off,Raise,Raise,Call,Call,Fold,Fold
QUTE,Off,Raise,Raise,Call,Call,Fold,Fold
QUNI,Off,Call,Raise,Fold,Fold,Fold,Fold
QUEI,Off,Fold,Raise,Fold,Fold,Fold,Fold
QUSE,Off,Fold,Call,Fold,Fold,Fold,Fold
QUSI,Off,Fold,Fold,Fold,Fold,Fold,Fold
QUFI,Off,Fold,Fold,Fold,Fold,Fold,Fold
QUFO,Off,Fold,Fold,Fold,Fold,Fold,Fold
QUTH,Off,Fold,Fold,Fold,Fold,Fold,Fold
QUTW,Off,Fold,Fold,Fold,Fold,Fold,Fold
JANI,Off,Fold,Call,Fold,Fold,Fold,Fold
JANI,On,Call,Raise,Fold,Fold,Fold,Fold
JAEI,Off,Fold,Fold,Fold,Fold,Fold,Fold
JAEI,On,Fold,Call,Fold,Fold,Fold,Fold
JASE,Off,Fold,Fold,Fold,Fold,Fold,Fold
JASE,On,Fold,Fold,Fold,Fold,Fold,Fold
JASI,Off,Fold,Fold,Fold,Fold,Fold,Fold
JASI,On,Fold,Fold,Fold,Fold,Fold,Fold
JAFI,Off,Fold,Fold,Fold,Fold,Fold,Fold
JAFI,On,Fold,Fold,Fold,Fold,Fold,Fold
JAFO,Off,Fold,Fold,Fold,Fold,Fold,Fold
JAFO,On,Fold,Fold,Fold,Fold,Fold,Fold
JATH,Off,Fold,Fold,Fold,Fold,Fold,Fold
JATH,On,Fold,Fold,Fold,Fold,Fold,Fold
JATW,Off,Fold,Fold,Fold,Fold,Fold,Fold
JATW,On,Fold,Fold,Fold,Fold,Fold,Fold
