Year,Country,MVA (Current USD$),Global MVA (Current USD$),Percent change
2016,United States,"2,600,000,000,000","12,400,000,000,000",N/A
2016,United Kingdom,"243,450,000,000","12,400,000,000,000",N/A
2016,EU,"2,140,000,000,000","12,400,000,000,000",N/A
2016,France,"254,300,000,000","12,400,000,000,000",N/A
2016,Germany,"716,940,000,000","12,400,000,000,000",N/A
2016,Italy,"277,640,000,000","12,400,000,000,000",N/A
2016,Japan,"1,020,000,000,000","12,400,000,000,000",N/A
2016,Australia,"73,430,000,000","12,400,000,000,000",N/A
2016,Brazil,"193,690,000,000","12,400,000,000,000",N/A
2016,Russia,"149,390,000,000","12,400,000,000,000",N/A
2016,India,"347,940,000,000","12,400,000,000,000",N/A
2016,China,"3,150,000,000,000","12,400,000,000,000",N/A
2016,South Africa,"40,400,000,000","12,400,000,000,000",N/A
2016,Saudi Arabia,"87,900,000,000","12,400,000,000,000",N/A
2016,Turkey,"144,330,000,000","12,400,000,000,000",N/A
2016,Argentina,"75,200,000,000","12,400,000,000,000",N/A
2016,Mexico,"185,290,000,000","12,400,000,000,000",N/A
2016,Indonesia,"191,250,000,000","12,400,000,000,000",N/A
2016,South Korea,"395,400,000,000","12,400,000,000,000",N/A
2017,United States,"2,190,000,000,000","13,250,000,000,000",
2017,United Kingdom,"240,850,000,000","13,250,000,000,000",
2017,EU,"2,260,000,000,000","13,250,000,000,000",
2017,France,"263,050,000,000","13,250,000,000,000",
2017,Germany,"752,580,000,000","13,250,000,000,000",
2017,Italy,"292,580,000,000","13,250,000,000,000",
2017,Japan,"1,010,000,000,000","13,250,000,000,000",
2017,Australia,"76,940,000,000","13,250,000,000,000",
2017,Brazil,"221,240,000,000","13,250,000,000,000",
2017,Russia,"193,830,000,000","13,250,000,000,000",
2017,India,"398,200,000,000","13,250,000,000,000",
2017,China,"3,460,000,000,000","13,250,000,000,000",
2017,South Africa,"47,730,000,000","13,250,000,000,000",
2017,Saudi Arabia,"95,050,000,000","13,250,000,000,000",
2017,Turkey,"151,110,000,000","13,250,000,000,000",
2017,Argentina,"82,610,000,000","13,250,000,000,000",
