"Aruba","ABW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33251396.6480447","34636871.5083799","37944134.0782123","46530726.2569832","62011173.1843575","76829608.9385475","81112849.1620112","86827932.9608939","97657541.8994413","126767039.106145","146021229.050279","162157541.899441","178492178.77095","189653631.284916","107412290.502793","70184357.5418994","110950837.988827","52085474.8603352","89000000","95987150.8379888","106228491.620112","110067039.106145","115463687.150838","105657541.899441","87015083.7988827","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","3928963573.72474","4239666002.01196","4622697682.62438","5036040442.19534","5735658131.72207","6404974613.3263","6911796236.67854","7221354455.19623","9802363573.22045","12031850851.8315","13469734538.4468","13224278828.0753","13639823930.6488","15411298152.1166","19354931187.2545","26910571521.9702","30375109594.2686","27620059900.7906","29922793143.6241","26488261030.3183","19928082101.3797","22981103552.9918","30149849406.7709","33441734738.3316","36099572209.2496","42347972016.7295","43885081924.0454","42289667987.9659","39880294207.071","40579081439.8804","45758384656.275","43610133532.0698","45084575238.1117","41277501685.9969","38964213906.2055","41702837680.4119","38158263823.8201","37589496146.2093","51254857677.8681","63484351514.1934","69812069647.2046","70667846739.3947","78755027088.0762","79533138852.3025","83981443519.0842","96319130689.9743","101786122923.758","100637184305.721","98103395851.7832","98198612537.0218","92585440285.4597","88397490362.518","100338474757.19","109580468608.682","107801313234.865","95839755317.366","110950154583.93","118372151635.228",
"Afghanistan","AFG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725473152.360197","768258326.019014","916463955.707248","1033437712.39691","1142298610.12352","1724286906.0486","1828468447.51003","1598345897.66518","1957760086.10947","2506491545.98156","2522635320.31719","2364888525.12302","2358711127.99686","2283789204.08547","741359896.91466","667121096.21341","1134634439.0926","1331478323.95781","1546263093.07609","1321341100.07097","",
"Africa Western and Central","AFW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","45663854922.1515","40076461569.6805","28988279219.5455","19550895266.2127","23318016912.3302","19322797828.0901","17501277511.5108","18262856354.9927","15183485677.5879","18192558582.1534","17891950105.6336","16892892268.5001","13874082552.6563","13453516083.3693","16720309071.9586","17950091082.9561","18875097468.1139","18077652697.3914","18714118964.8203","17673155345.9841","18586663019.9182","20401333450.3142","23730418175.4019","27356483318.3077","32349611561.9709","38002736963.4895","43957791967.9395","53103853526.354","46635598302.3744","48154561251.983","59002938243.4301","63720711545.4906","82605032896.7125","92409047869.3419","77531042100.8613","68115553748.1366","68092264824.3133","79828507925.8363","93326966139.9984","94507254607.8263","111711339187.152","111386417453.795",
"Angola","AGO","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202777777.777778","259360360.36036","334875882.351015","407249039.003883","198301063.225514","263860200.804189","346103358.311326","559731748.727435","712475147.62521","1102692817.58482","1446628304.14519","1892429937.78506","2218726345.74628","3064975550.59541","3592291047.10601","3710607898.75674","4561102414.05832","5504033126.45065","6439751496.02828","6537050864.49326","4958543523.08606","3365569249.68664","4538787340.13134","4713839536.01815","4253808795.71126","3548569304.85546","4295999746.32933","7933572389.55225",
"Albania","ALB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155437018.087109","103517382.413088","120269912.675311","145590152.063722","150276373.534804","160768481.136016","176816057.456316","231427088.171808","300144345.119245","356372377.190718","436345835.069213","565555580.621383","643783954.630515","626007338.452696","650270998.364387","729861655.998351","568493541.106599","646451582.375809","704503223.359879","645807586.964286","674241295.28566","801776467.950801","929587980.893142","963568288.815897","933423400.828348","1103656986.08964","1236498026.9812",
"Andorra","AND","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54744752.6827485","53395495.3423236","60373534.5877345","85391740.5916749","105815375.637133","109859224.991295","118724316.25413","134334741.920583","146145739.015292","132723319.139875","127640000.66667","132848209.338523","118740169.054688","122572013.839217","120295746.019606","103395506.277344","108365814.747085","112471057.929413","116194114.219606","115910390.745096","107937532.295718","","",
"Arab World","ARB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","12501153500.5726","14616421272.1496","16878342320.7985","18989182645.8169","24870107759.9271","31039765815.558","36851790910.7382","37070932876.7323","39124534417.5341","43478381758.1367","43982515686.8875","44507952461.986","50656069936.5965","54816024607.879","57874589271.4562","62397359434.9013","52373098990.7366","53015035273.5391","53586173656.6322","56778255368.1778","64299341064.322","71470433271.6391","77726019186.6321","78186596335.2253","84121224121.9915","97624934559.7368","99467590703.6065","102302301353.968","116275792407.979","135376317946.222","161337004299.732","183502853926.452","206461789867.717","252959338815.585","218548982154.615","255750905782.164","296381196819.181","320817210674.365","320804473994.993","330764384032.506","297589787824.483","295081124321.34","300597710521.597","329195572724.871","326826321954.521","299543414270.817","366356845280.258","465521862185.264",
"United Arab Emirates","ARE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","134047411.416762","215781521.896141","682499423.564676","816023755.052356","954745675.492109","1625413198.22176","3163443204.34853","3695723237.18216","3753745574.43578","3823208935.32907","3624897847.99782","2809043857.2596","3192590574.77527","3207028057.74993","3386270770.90711","3799509670.38954","3826750204.304","4113320621.08417","4363116317.07981","3906837374.01253","4452465268.31926","4883138109.50695","6224734404.79433","6531518039.48264","7226412525.52757","9465486725.66372","13754663036.079","14345813478.5568","15247923757.6583","17018107556.1607","19159972770.5922","21449693669.1627","23278420694.3499","27131654186.5214","23314635806.6712","23036890973.4513","27012249230.7692","31095868536.4193","31720297181.7563","33605870197.4132","33976082205.582","34442146221.9197","36635868563.6487","38117534622.192","37064624588.1552","35966994036.7597","43030584887.6787","",
"Argentina","ARG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","11673529107.6695","11740952533.018","9174848543.83873","9569142702.52082","11453999979.1217","9963158196.17034","11906599839.0298","12628249874.21","18040443689.335","24655222754.2397","20039486085.9997","20015850633.0869","20778999454.2837","30390449353.4561","22635232910.6023","22685371287.1712","22631579613.8817","26439043921.3852","31889838392.5678","34733639045.1487","26129552731.8468","29029778073.907","29919344245.4758","35528854507.587","23716419731.0225","37867951993.0461","46265967383.3246","50009101340.0405","43181479379.3794","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","19884659444.7571","28690164511.4211","31181294718.6206","36449209845.7969","41576107685.8108","49016520323.1183","59795791835.7078","51890313730.722","67123175368.3781","84033773597.1035","83081051122.8397","82864793306.4051","77752039861.1526","84344878153.7785","75200103761.6137","82610788144.9664","73790430354.8763","60629741557.7386","55391148716.9067","75418694709.6335","97371319994.1355",
