Year,Country,MVA (Current USD$),Global MVA (Current USD$)
2016,United States,2600000000000,12400000000000
2016,United Kingdom,243450000000,12400000000000
2016,EU,2140000000000,12400000000000
2016,France,254300000000,12400000000000
2016,Germany,716940000000,12400000000000
2016,Italy,277640000000,12400000000000
2016,Japan,1020000000000,12400000000000
2016,Australia,73430000000,12400000000000
2016,Brazil,193690000000,12400000000000
2016,Russia,149390000000,12400000000000
2016,India,347940000000,12400000000000
2016,China,3150000000000,12400000000000
2016,South Africa,40400000000,12400000000000
2016,Saudi Arabia,87900000000,12400000000000
2016,Turkey,144330000000,12400000000000
2016,Argentina,75200000000,12400000000000
2016,Mexico,185290000000,12400000000000
2016,Indonesia,191250000000,12400000000000
2016,South Korea,395400000000,12400000000000
2017,United States,2190000000000,13250000000000
2017,United Kingdom,240850000000,13250000000000
2017,EU,2260000000000,13250000000000
2017,France,263050000000,13250000000000
2017,Germany,752580000000,13250000000000
2017,Italy,292580000000,13250000000000
2017,Japan,1010000000000,13250000000000
2017,Australia,76940000000,13250000000000
2017,Brazil,221240000000,13250000000000
2017,Russia,193830000000,13250000000000
2017,India,398200000000,13250000000000
2017,China,3460000000000,13250000000000
2017,South Africa,47730000000,13250000000000
2017,Saudi Arabia,95050000000,13250000000000
2017,Turkey,151110000000,13250000000000
2017,Argentina,82610000000,13250000000000
2017,Mexico,202130000000,13250000000000
2017,Indonesia,204750000000,13250000000000
2017,South Korea,437570000000,13250000000000
2018,United States,2330000000000,14180000000000
2018,United Kingdom,254100000000,14180000000000
2018,EU,2420000000000,14180000000000
2018,France,278310000000,14180000000000
2018,Germany,796430000000,14180000000000
2018,Italy,313990000000,14180000000000
2018,Japan,1040000000000,14180000000000
2018,Australia,82530000000,14180000000000
2018,Brazil,201820000000,14180000000000
2018,Russia,212470000000,14180000000000
2018,India,402240000000,14180000000000
2018,China,3870000000000,14180000000000
2018,South Africa,50490000000,14180000000000
2018,Saudi Arabia,106410000000,14180000000000
2018,Turkey,148250000000,14180000000000
2018,Argentina,73790000000,14180000000000
2018,Mexico,214450000000,14180000000000
2018,Indonesia,207030000000,14180000000000
2018,South Korea,459470000000,14180000000000
2019,United States,2360000000000,14030000000000
2019,United Kingdom,248770000000,14030000000000
2019,EU,2350000000000,14030000000000
2019,France,273100000000,14030000000000
2019,Germany,760410000000,14030000000000
2019,Italy,299370000000,14030000000000
2019,Japan,1040000000000,14030000000000
2019,Australia,78030000000,14030000000000
2019,Brazil,193530000000,14030000000000
2019,Russia,219580000000,14030000000000
2019,India,381550000000,14030000000000
2019,China,3820000000000,14030000000000
2019,South Africa,48170000000,14030000000000
2019,Saudi Arabia,104730000000,14030000000000
2019,Turkey,132090000000,14030000000000
2019,Argentina,60630000000,14030000000000
2019,Mexico,218960000000,14030000000000
2019,Indonesia,220500000000,14030000000000
2019,South Korea,416530000000,14030000000000
2020,United States,2240000000000,13620000000000
2020,United Kingdom,235000000000,13620000000000
2020,EU,2250000000000,13620000000000
2020,France,244570000000,13620000000000
2020,Germany,727550000000,13620000000000
2020,Italy,276920000000,13620000000000
2020,Japan,1010000000000,13620000000000
2020,Australia,74670000000,13620000000000
2020,Brazil,157840000000,13620000000000
2020,Russia,200110000000,13620000000000
2020,India,377350000000,13620000000000
2020,China,3860000000000,13620000000000
2020,South Africa,39370000000,13620000000000
2020,Saudi Arabia,92800000000,13620000000000
2020,Turkey,137820000000,13620000000000
2020,Argentina,55390000000,13620000000000
2020,Mexico,185450000000,13620000000000
2020,Indonesia,210400000000,13620000000000
2020,South Korea,407470000000,13620000000000
2021,United States,2500000000000,15960000000000
2021,United Kingdom,271470000000,15960000000000
2021,EU,2540000000000,15960000000000
2021,France,262640000000,15960000000000
2021,Germany,803210000000,15960000000000
2021,Italy,319430000000,15960000000000
2021,Japan,1030000000000,15960000000000
2021,Australia,86160000000,15960000000000
2021,Brazil,168640000000,15960000000000
2021,Russia,236430000000,15960000000000
2021,India,455910000000,15960000000000
2021,China,4910000000000,15960000000000
2021,South Africa,49380000000,15960000000000
2021,Saudi Arabia,117600000000,15960000000000
2021,Turkey,181890000000,15960000000000
2021,Argentina,75420000000,15960000000000
2021,Mexico,230070000000,15960000000000
2021,Indonesia,228320000000,15960000000000
2021,South Korea,461100000000,15960000000000
2022,United States,2790000000000,16330000000000
2022,United Kingdom,259330000000,16330000000000
2022,EU,2470000000000,16330000000000
2022,France,259410000000,16330000000000
2022,Germany,751340000000,16330000000000
2022,Italy,283940000000,16330000000000
2022,Japan,1060000000000,16330000000000
2022,Australia,90830000000,16330000000000
2022,Brazil,213640000000,16330000000000
2022,Russia,287710000000,16330000000000
2022,India,450860000000,16330000000000
2022,China,4980000000000,16330000000000
2022,South Africa,48880000000,16330000000000
2022,Saudi Arabia,162680000000,16330000000000
2022,Turkey,199890000000,16330000000000
2022,Argentina,97370000000,16330000000000
2022,Mexico,265670000000,16330000000000
2022,Indonesia,241870000000,16330000000000
2022,South Korea,426760000000,16330000000000
