"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5580.44049642822","6625.40109129516","8115.9680537867","9545.67765236411","10393.9422544994","11491.1767344306","12187.210548964","13263.2130124773","14798.0157250949","15091.0660113062","15252.9493306563","16322.2579317193","17481.0359971469","17328.2764093749","18607.6595272834","18360.3530178756","17480.4096795797","18953.1710938001","20520.4118919844","17072.7929000983","21586.0914454353","20197.7752556573","23908.1886531823","21764.2366693621","20003.1194019305","20090.3514732434","21165.6365964128","22168.2241740425","23163.6377612682","24192.6166015901","24118.0318022965","24565.9346445665","24994.1473513665","","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","497.065746269467","453.533015017775","476.934538752916","431.595559063311","346.011260124458","371.704880739801","444.613652838948","468.4849686233","477.294800514415","512.666445176026","532.834073697109","536.787728085535","555.526364785661","551.156503136516","609.159268541239","598.169341992144","617.929649971945","566.907735221355","548.108986973916","575.476238072595","498.729834942888","491.387889550186","645.167648995475","781.966944314967","877.41966706568","936.685910848455","1000.86872664179","977.70224086961","1061.35750168658","1213.17716847146","1317.66733511418","1308.60361260914","1296.80493599673","1310.86415347285","1228.1028104184","1152.95383864045","1259.54461298338","1264.54198362736","1234.24746832615","1097.74485091584","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","154.284558172211","157.650870364107","134.379043520263","141.664823354839","171.38238005753","182.456919847874","192.466273618383","218.010806773869","238.908101140079","265.543357277394","270.232126721941","290.529559511791","","","","","","","","","","","","","","","","","","","","","","","","","","","","412.537509545075","513.792144890192","556.163841052646","598.215244800464","586.613688941914","575.68079644126","526.930235464098","489.00974037583","494.93492027991","458.344565843406","467.186947260786","475.084737273174","","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","192.349022501726","135.657986144951","160.98484832058","191.541968285446","241.28480779208","288.943635434415","347.840463703569","347.516138923725","376.723164696715","391.116249979392","510.315522139048","1097.21174834085","961.505263069319","679.514232047491","533.005041872493","523.621253353423","486.39909444961","470.705969360655","465.694805612527","388.875627810918","441.029198258135","436.235306047289","422.25916594102","336.34350776636","287.835678014","352.725108794406","377.406940721413","378.208334255922","394.013946348709","409.12960608146","365.763109812483","401.437823323201","477.254431521271","528.753373294851","621.611467324281","720.344610694592","949.221188525711","1075.86355673487","1260.1004513156","1151.07043335015","1252.50377316963","1335.41860696198","1446.84795215847","1632.1786243779","1718.12101746602","1564.74562895118","1389.65334154922","1303.57181108732","1347.9824419155","1418.79440865752","1384.6621149534","","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","534.712462627634","551.197389313589","469.94961176997","447.139684380124","650.992108755464","553.7623553395","","","","-7.14930696848444","183.449040418348","182.417138778734","259.978880577456","268.074775232923","162.996039238603","208.216262156072","266.611471958458","567.271008687373","671.20524469104","693.447950927326","948.519833715099","1291.37411866083","1435.29600310676","1366.46953632575","1822.49203017809","1819.19018537955","2379.08459666745","2835.32006306457","3158.54411391996","3583.80054941997","3199.01270164473","2688.63046678233","2936.85071835176","2051.81472783044","1738.0592527235","1103.9087975047","","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","461.437534326992","458.321757891682","548.187783046345","514.333039314617","499.721576630144","525.391904896685","471.979996861193","247.392275971448","135.452554693674","315.43672009974","507.79651939369","667.110509930739","912.54964843978","640.820869194811","747.513419103326","947.504492569257","1037.50539788078","1184.24480199817","1304.98658185347","1695.27381393984","2166.05110344435","2431.70614028901","2736.18266375576","3228.29472778103","3834.89881143102","3512.41004362752","3495.84421381834","3728.04779008459","3503.24351020314","3760.37690738146","3844.33754444835","3267.21751521694","3443.31022429352","3712.73301736609","4318.91149189977","4337.13108250086","4208.45661142323","","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1320.27204857119","1447.21359644897","1453.87203555269","1345.16234178666","1305.95375839688","1261.31337631919","1235.86605706277","1244.30090525939","1225.18026144083","1220.61213554139","1652.62584272621","1596.38556145799","1722.95210515328","1688.22304982514","1670.81295730139","1810.63235265604","1917.68639178333","2044.07142183704","1985.66359789933","2124.2854857076","2278.43945198648","2233.72670276182","2217.75754494314","2351.16989002757","2703.25970817418","3122.07364396822","3650.48491289578","4219.86176849846","5070.12079844471","4541.16665360712","5127.90638404232","5225.34676760464","5660.16963010159","5731.74662186556","5759.49985397395","5108.26083068365","4980.00823375425","4920.93052215329","5223.73896638394","5246.29708391119","4722.98517529364","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29010.6920577816","27669.6497302265","27068.2099540047","28726.8496258625","32915.5359330736","35802.0173934643","38882.8416223886","38473.5955985246","37881.6080935333","27101.6238502758","30787.5020164721","36068.679546589","38050.556888861","39901.8528543105","41018.8312934776","37047.0263520592","36924.272665839","39447.3285867088","42227.0393199426","41251.3766617924","35542.1520612807","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1196.58777727401","1303.13851182403","1296.97199342872","1968.48732505858","2642.10413469961","1888.54678708386","1780.2666940939","1937.43922908986","1938.75722906406","2216.46856253073","2395.60088347117","2386.34326129192","2465.88787225827","3014.91950628105","2260.00994324353","2483.62929116128","3172.07071447171","3103.7073121547","3492.73137265708","1924.01612659426","3691.32068890717","5036.33707817657","6073.41610510698","6183.76743780186","6572.02247379162","6364.48982861268","6679.29245176969","7056.62405219523","7098.68162612232","6517.447867193","6410.96355648657","5964.88861957229","1975.75443689039","2655.2179232064","3152.31080205787","3764.72657452506","4847.64601181634","6069.71236218369","7544.22403429982","6815.12343235299","8616.89768432051","10692.0033205025","10831.5207217339","10851.0717236419","10231.5976670644","11707.8704117529","10797.5439169701","12493.7720428652","9813.55891432582","8262.87874420382","7211.95593299884","","",
