CMDLINE /usr/bin/python3 BackupLogic.py
MEM 3.632812 1701888763.3323
MEM 18.570312 1701888763.4326
MEM 18.570312 1701888763.5330
MEM 18.570312 1701888763.6334
MEM 18.570312 1701888763.7338
MEM 18.570312 1701888763.8343
MEM 18.570312 1701888763.9347
MEM 18.570312 1701888764.0351
MEM 18.570312 1701888764.1356
MEM 18.570312 1701888764.2360
MEM 18.570312 1701888764.3365
MEM 18.570312 1701888764.4369
MEM 18.570312 1701888764.5373
MEM 18.570312 1701888764.6377
MEM 18.570312 1701888764.7381
MEM 18.570312 1701888764.8384
MEM 18.570312 1701888764.9389
MEM 18.570312 1701888765.0393
MEM 18.570312 1701888765.1396
MEM 18.570312 1701888765.2400
MEM 18.570312 1701888765.3405
MEM 18.570312 1701888765.4409
MEM 18.570312 1701888765.5413
MEM 18.570312 1701888765.6417
MEM 18.570312 1701888765.7421
