Time,Date,Elapsed,Orig,Dest,Detour enroute,Driver,Distance
1640,09/26/2023,31 Mins,Evergreen,Millersylvania,yes,P,11 miles
1130,09/27/2023,21 mins,Millersylvania,Evergreen,yes,P,10 miles
1300,09/27/2023,19 mins,Evergreen,Millersylvania,no,P,10 miles
850,09/28/2023,25 mins,Millersylvania,Evergreen,No,P,11 miles
1700,09/28/2023,170 mins,Millersylvania,Home,yes,P,86 miles
1630,10/01/2023,133 mins,Home,Millersylvania,no,P,86 miles
840,10/02/2023,33 mins,Millersylvania,Evergreen,yes,P,11 miles
1905,10/02/2023,23 mins,Evergreen,Millersylvania,no,P,11 miles
845,10/03/2023,22 mins,Millersylvania,Evergreen,no,P,11 miles
1645,10/03/2023,32 mins,Evergreen,Millersylvania,no,P,11 miles
1058,10/04/2023,27 mins,Millersylvania,Evergreen,yes,P,11 miles
1430,10/04/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
858,10/05/2023,27 mins,Millersylvania,Evergreen,yes,P,11 miles
1540,10/05/2023,27 mins,Evergreen,Millersylvania,no,P,11 miles
1000,10/06/2023,45 mins,Millersylvania,Evergreen,yes,P,11 miles
1915,10/06/2023,75 mins,Evergreen,Federal Way,no,P,45 Miles
1630,10/08/2023,70 mins,Federal Way,Millersylvania,yes,P,45 miles
845,10/09/2023,37 mins,MIllersylvania,Evergreen,yes,P,11 miles
1830,10/9/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
730,10/10/2023,207 mins,MIllersylvania,Evergreen,yes x 4,P,112 miles
1540,10/10/2023,37 mins,Evergreen,Millersylvania,yes,P,11 miles
850,10/12/2023,24 mins,MIllersylvania,Evergreen,no,P,11 miles
1520,10/12/2023,185 mins,Evergreen,Gardnier,yes,P,132 miles
725,10/16/2023,113 mins,Gardiner,Evergreen,no,P,86 miles
1915,10/16/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
825,10/17/2023,24 mins,Millersylvania,Evergreen,yes,P,11 miles
1600,10/17/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
1100,10/18/2023,20 mins,Millersylvania,Evergreen,no,P,11 miles
1700,10/18/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
0850,10/19/2023,22 mins,Millersylvania,Evergreen,no,P,11 miles
1515,10/19/2023,21 mins,Evergreen,Millersylvania,no,P,11 miles
1700,10/19/2023,141 mins,Millersylvania,Gardiner,no,P,98 miles
0715,10/23/2023,108 mins,Gardiner,Evergreen,no,P,86 miles
1915,10/23/2023,20 mins,Evergreen,Millersylvania,no,P,11 miles
0850,10/24/2023,21 mins,Millersylvania,Evergreen,no,P,11 miles
1640,10/24/2023,22 mins,Evergreen,Millersylvania,no,P,11 miles
