Class Name, Initialization Kind, Reason for Initialization
apple.security.AppleProvider, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.AppleProvider$1, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.AppleProvider$ProviderService, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$KeyEntry, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$LocalAttr, BUILD_TIME, Core JDK classes are initialized at build time
apple.security.KeychainStore$TrustedCertEntry, BUILD_TIME, Core JDK classes are initialized at build time
boolean, BUILD_TIME, primitive types are initialized at build time
boolean[], BUILD_TIME, arrays are initialized at build time
boolean[][], BUILD_TIME, arrays are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
char[], BUILD_TIME, arrays are initialized at build time
char[][], BUILD_TIME, arrays are initialized at build time
char[][][], BUILD_TIME, arrays are initialized at build time
com.oracle.graal.compiler.enterprise.a, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.a, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.consumer.a, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.consumer.g, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.consumer.z, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.PartialVectorConsumerNode, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.VectorConsumerProxyNode, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.a, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.p, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.q, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.lowered.r, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.op.b, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.producer.a, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.nodes.producer.c, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.replacements.VectorSnippets, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.replacements.VectorSnippets$Counters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.replacements.e, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.graal.vector.replacements.o, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda$1352/0x000000780128c000, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$$Lambda$1354/0x000000780128c230, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptionParser$BooleanOptionFormat[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.common.option.CommonOptionParser$OptionParseResult, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.CommonOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.LocatableOption$LocatableOptionValue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.common.option.UnsupportedOptionClassException, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.BaseProcessPropertiesSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccessImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CalleeSavedRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.Containers, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.Containers$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.DumpHeapReport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.DumpHeapStartupHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FrameAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FunctionPointerHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.InvalidMethodPointerHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser$OptionValueType, BUILD_TIME, Native Image classes are always initialized at build time
