OS Name,Date Time,CPU Temp,Wi-Fi -dBm,CPU Usage,Memory Usage,Disk Usage,Net Traffic Rx,Net Traffic Tx
Debian GNU/Linux 11 (bullseye),12/18/2023 11:29,48.19,36/100,0.946378,-75.1024,47%,132990560,353198
Debian GNU/Linux 11 (bullseye),12/18/2023 12:02,41.38,38/100,1.03963,-87.9928,47%,133847571,364904
Debian GNU/Linux 11 (bullseye),12/18/2023 18:50,41.38,37/100,2.128,-60.9575,48%,146494129,651444
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/19/2023 6:34,40.4,38/100,1.60391,-74.5136,47%,186474520,818901
Debian GNU/Linux 11 (bullseye),12/19/2023 12:10,48.19,31/100,2.01685,-63.7993,47%,232509597,1007212
Debian GNU/Linux 11 (bullseye),12/19/2023 18:15,39.92,30/100,2.8824,-37.8008,46%,8567354,783793
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/20/2023 5:01,39.92,38/100,2.66393,-37.9928,46%,52266278,1258732
Debian GNU/Linux 11 (bullseye),12/20/2023 12:00,37.48,35/100,2.53292,-69.5725,46%,9175961,460993
Debian GNU/Linux 11 (bullseye),12/20/2023 18:00,39.92,35/100,5.12388,-27.3169,46%,82919483,862602
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/21/2023 5:01,37.97,35/100,3.29921,-34.6774,46%,138056295,1050793
Debian GNU/Linux 11 (bullseye),12/21/2023 12:06,47.71,27/100,3.16754,-12.7624,46%,287138180,1273934
Debian GNU/Linux 11 (bullseye),12/21/2023 19:18,37.48,31/100,3.59915,-21.915,46%,302961943,1979451
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/22/2023 5:04,37.48,30/100,3.17905,-21.9022,46%,303948065,2205281
Debian GNU/Linux 11 (bullseye),12/22/2023 12:37,46.25,31/100,3.59403,-6.79724,46%,5306684,400140
Debian GNU/Linux 11 (bullseye),12/22/2023 18:04,39.43,37/100,4.65722,-19.8541,47%,73878028,794434
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/23/2023 5:34,33.58,38/100,4.11405,-33.4997,47%,173484378,978760
Debian GNU/Linux 11 (bullseye),12/23/2023 12:01,43.32,39/100,16.8035,-50.5632,47%,2825076,67998
Debian GNU/Linux 11 (bullseye),12/23/2023 19:20,39.43,35/100,5.94182,-31.7716,47%,26463596,476795
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/24/2023 5:27,36.02,40/100,4.07668,-31.7716,47%,113802145,983207
Debian GNU/Linux 11 (bullseye),12/24/2023 12:09,50.63,37/100,5.19099,-62.276,47%,159151896,1346059
Debian GNU/Linux 11 (bullseye),12/24/2023 18:02,36.99,38/100,4.80296,-44.9821,47%,264877655,1650088
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/25/2023 5:08,36.99,38/100,4.0044,-44.8029,47%,323874158,2202644
Debian GNU/Linux 11 (bullseye),12/25/2023 12:14,48.68,41/100,4.51982,-20.1869,47%,337868320,2463279
Debian GNU/Linux 11 (bullseye),12/25/2023 18:09,35.53,38/100,4.1808,-86.0215,47%,346424447,2566823
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/26/2023 5:33,37.48,39/100,3.49406,-85.8935,47%,390033751,2704935
Debian GNU/Linux 11 (bullseye),12/26/2023 12:19,42.35,31/100,6.45753,-44.7261,47%,4177962,206328
Debian GNU/Linux 11 (bullseye),12/26/2023 18:01,37.97,31/100,4.86976,-34.9078,47%,74671103,503282
,,,,,,,,
Debian GNU/Linux 11 (bullseye),12/27/2023 5:12,36.51,31/100,2.712,-38.3641,47%,226127507,663183
Debian GNU/Linux 11 (bullseye),12/27/2023 12:00,47.71,25/100,2.81019,-13.2488,47%,272997082,922410
Debian GNU/Linux 11 (bullseye),12/27/2023 18:08,36.02,35/100,10.8425,-89.3625,47%,109864,22702
,,,,,,,,
